label,fwd,long_sharpe_avg,long_sharpe_min,long_sharpe_pos%,long_avg,long_avg_min,spread_sharpe_avg,spread_avg
opt_8,fwd_60d,0.4923768291870753,-0.16577129065990448,86.66666666666667,0.056166172865778206,-0.016936535015702248,0.3629768520593643,0.04473512930174669
opt_8,fwd_120d,0.7679006819923718,-0.3927884101867676,80.0,0.11139191302160421,-0.048791781067848206,0.6001306224614382,0.09083896434555451
opt_8,fwd_250d,1.1460430900255838,-0.973223090171814,86.66666666666667,0.19962158190707366,-0.1128096953034401,0.7596654733022054,0.1298056793709596
opt_9,fwd_5d,0.10492597986012697,-0.10355892777442932,86.66666666666667,0.004485813514717544,-0.002776185981929302,0.07042734036222101,0.003578800601341451
opt_9,fwd_20d,0.25107463300228117,-0.20087534189224243,80.0,0.018807604482086997,-0.010260798037052155,0.17981209382414817,0.015414998439761499
opt_9,fwd_60d,0.49371455957492194,-0.2214019000530243,86.66666666666667,0.05776368744360904,-0.022399194538593292,0.4050073780119419,0.04995252896721165
opt_9,fwd_120d,0.7524487445751826,-0.6666824221611023,80.0,0.11198637417207162,-0.06965489685535431,0.6399489935487509,0.08809525184333325
opt_9,fwd_250d,1.1792749067147572,-1.2802172899246216,86.66666666666667,0.19929594794909158,-0.14958558976650238,0.844698441401124,0.11803686904410521
opt_10,fwd_5d,0.10236406934758027,-0.11272769421339035,73.33333333333333,0.004157123425587391,-0.003370848949998617,0.045268026863535246,0.002103061679129799
opt_10,fwd_20d,0.24993022376050553,-0.17744356393814087,80.0,0.017663003915610414,-0.00852806493639946,0.13161721682796876,0.010957385025297603
opt_10,fwd_60d,0.49079042576874293,-0.1370958536863327,80.0,0.05536096925692012,-0.018869051709771156,0.3536688725153605,0.04291594276825587
opt_10,fwd_120d,0.7616587241490682,-0.4218599498271942,80.0,0.11051540058106184,-0.053703855723142624,0.5896436251699925,0.09078666117663185
opt_10,fwd_250d,1.1405363818009695,-0.9613596796989441,86.66666666666667,0.1989363486568133,-0.11505258083343506,0.741840711236,0.1316302331785361
live_4tf,fwd_5d,0.051366191978255905,-0.14020343124866486,60.0,0.0014029007540860524,-0.004624019376933575,-0.051540673399964966,-0.002105390220337237
live_4tf,fwd_20d,0.13822380100997786,-0.23381398618221283,66.66666666666666,0.00646604714759936,-0.01773645170032978,-0.06340508697709689,-0.0043762353559335075
live_4tf,fwd_60d,0.29568168794115385,-0.4104028046131134,73.33333333333333,0.02338728802278638,-0.04689911752939224,-0.029821169624725977,-0.007240541946763794
live_4tf,fwd_120d,0.529697310552001,-0.558068037033081,73.33333333333333,0.06175754351230959,-0.07739060372114182,0.11357651725411415,0.016654983970026176
live_4tf,fwd_250d,0.7054678703347842,-1.0296186208724976,86.66666666666667,0.12909156406919162,-0.1479140818119049,0.18646148204182586,0.04089357194025069
equal_9tf,fwd_5d,0.0815366756170988,-0.17068035900592804,73.33333333333333,0.002447478585721304,-0.003750248346477747,0.005527969698111216,7.076506735756994e-05
equal_9tf,fwd_20d,0.21162947677075863,-0.17600339651107788,73.33333333333333,0.010999969501669208,-0.009761692024767399,0.05471040854851405,0.0033893631926427284
equal_9tf,fwd_60d,0.4516182528808713,-0.21949194371700287,80.0,0.03576201727458586,-0.02679997868835926,0.19109487868845462,0.015800922639512768
equal_9tf,fwd_120d,0.7300721649701397,-0.4080258309841156,93.33333333333333,0.07751122744909177,-0.06254272907972336,0.4061802645524343,0.05298546738922596
equal_9tf,fwd_250d,1.0512861097852388,-0.7992215156555176,86.66666666666667,0.15475385207682849,-0.13271211087703705,0.5074003993843993,0.0958519968825082
long_biased,fwd_5d,0.10720330520222585,-0.126611590385437,73.33333333333333,0.0038164445916966847,-0.0033623124472796917,0.04676994749655326,0.0020979983770909407
long_biased,fwd_20d,0.2415906419356664,-0.10729284584522247,73.33333333333333,0.014716569900823135,-0.006073038559406996,0.11668967927495638,0.008836091806491217
long_biased,fwd_60d,0.4641574746618668,-0.16102451086044312,73.33333333333333,0.04280583932219694,-0.021887853741645813,0.28293970674276353,0.02621202717224757
long_biased,fwd_120d,0.7577370362977187,-0.4995753765106201,80.0,0.0891364805555592,-0.07810042053461075,0.5310496290524801,0.07286738231778145
long_biased,fwd_250d,1.1172021960839629,-0.9395692944526672,86.66666666666667,0.1747838854479293,-0.14845196902751923,0.7301921509206295,0.12509395275264978
